"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CENTRE","ZONE","REFINT","ETATPIDICOMP","DTPASSPIDICOMP","HEUREPASSPIDICOMP","DTETATPIDICOMP","HEURETATPIDICOMP","DTPREMPLG","HRPREMPLG","FTTH_IMM_OP","FTTH_TYPE_RAC","FTTH_TYPE_SITE","FTTH_ADDUCTABILITE","LIBMATFTTH","REMMATFTTH","REFOCEANE","DISPOSITIF_SPX"
"IQPFTH","298196505","22826296","","TGC","4","47289281","","","","","","6/8/2023","13:00","","","","","","","",""
"IQPFTH","298933301","22806921","","CHA","0","46879508","TA\TC\TR\TR","27/04/2023\09/05/2023\10/05/2023\12/05/2023","10:45\17:04\13:50\11:41","27/04/2023\09/05/2023\10/05/2023\12/05/2023","10:45\17:04\13:50\11:41","5/10/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 4","Deja detenu","",""
"IQPFTH","296948150","22774379","","QIN","0","47033175","TA\TC\TR\TR\TR","15/04/2023\19/04/2023\20/04/2023\25/04/2023\10/05/2023","08:08\17:54\15:33\15:16\17:11","15/04/2023\19/04/2023\20/04/2023\25/04/2023\10/05/2023","08:08\17:54\15:33\15:16\17:11","4/20/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","296617082","22802187","","PHN","17","47169768","TA\TC","28/04/2023\13/05/2023","08:09\10:11","28/04/2023\13/05/2023","08:09\10:11","5/15/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur Livebox Play TV","Deja detenu","",""
"IQLFTH","298071103","22793064","","BRE","508","47125113","TA\TC\TR\TR","21/04/2023\04/05/2023\05/05/2023\09/05/2023","11:51\18:04\15:30\10:18","21/04/2023\04/05/2023\05/05/2023\09/05/2023","11:51\18:04\15:30\10:18","4/28/2023","13:00","FT","mono-fibre","Immeuble","1 - aise","DECODEUR_1:Decodeur TV UHD","Remis au client","",""
"IQPFTH","296467311","22842793","","PSG","21","47374657","","","","","","6/9/2023","8:00","","","","","","","",""
"IQPFTH","299208194","22824177","","DOL","11","47280751","TA","5/6/2023","13:03","5/6/2023","13:03","6/19/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur Livebox Play TV","Deja detenu","",""
"IQPFTH","299592811","22769116","","MOS","3","47007570","TA","4/21/2023","19:46","4/21/2023","19:46","6/28/2023","13:00","SFR FTTH (SFOR)","mono-fibre","Immeuble","1 - aise","","","",""
"IQPFTH","229407762","22821514","","BOI","0","46324612","TA","5/4/2023","9:51","5/4/2023","9:51","5/24/2023","8:00","SFR FTTH (SFOR)","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","296441113","22836092","","SAM","32","47340518","","","","","","6/2/2023","13:00","","","","","","","",""
"IQPFTH","229009291","22824180","","GPV","0","47280760","TA","5/5/2023","17:46","5/5/2023","17:46","5/19/2023","13:00","FT","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:second Decodeur TV UHD\DECODEUR_1:Decodeur TV 4","Deja detenu\Deja detenu","",""
"IQPFTH","296461457","22841134","","BEG","3","47366135","","","","","","5/29/2023","13:00","","","","","","","",""
"IQPFTH","223634051","22831656","","6NE","67","47314914","TA","5/12/2023","6:55","5/12/2023","6:55","6/7/2023","8:00","FIBRE44 (FI44)","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","297141646","22837572","","PHR","0","46845380","TA","5/11/2023","11:50","5/11/2023","11:50","5/19/2023","13:30","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQLFTH","297787695","22837789","","PLL","0","47347093","TA","5/12/2023","15:46","5/12/2023","15:46","5/22/2023","10:00","THDB","mono-fibre","Immeuble","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison en point relais","",""
"IQPFTH","297140897","22824183","","BAD","21","47280768","TA","5/6/2023","8:08","5/6/2023","8:08","5/17/2023","8:00","VANNES AGGLO NUMERIQUE (REVA)","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Livraison en point relais","",""
"IQPFTH","297700978","22842794","","JOS","0","47374676","","","","","","6/6/2023","13:00","","","","","","","",""
"IQPFTH","298196081","22817287","","LER","2","47246622","TA","5/4/2023","8:11","5/4/2023","8:11","5/24/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
